"customer_id","first_name","last_name","amount"
341,"Peter","Menard","7.99"
341,"Peter","Menard","7.99"
341,"Peter","Menard","7.99"
341,"Peter","Menard","5.99"
342,"Harold","Martino","5.99"
342,"Harold","Martino","5.99"
343,"Douglas","Graf","4.99"
343,"Douglas","Graf","6.99"
343,"Douglas","Graf","6.99"
343,"Douglas","Graf","8.99"
344,"Henry","Billingsley","3.99"
344,"Henry","Billingsley","4.99"
345,"Carl","Artis","4.99"
345,"Carl","Artis","4.99"
346,"Arthur","Simpkins","5.99"
347,"Ryan","Salisbury","8.99"
347,"Ryan","Salisbury","4.99"
347,"Ryan","Salisbury","8.99"
347,"Ryan","Salisbury","7.99"
348,"Roger","Quintanilla","8.99"
349,"Joe","Gilliland","6.99"
349,"Joe","Gilliland","8.99"
350,"Juan","Fraley","3.99"
351,"Jack","Foust","5.99"
352,"Albert","Crouse","4.99"
352,"Albert","Crouse","4.99"
352,"Albert","Crouse","4.99"
352,"Albert","Crouse","4.99"
353,"Jonathan","Scarborough","7.99"
353,"Jonathan","Scarborough","6.99"
354,"Justin","Ngo","4.99"
354,"Justin","Ngo","6.99"
356,"Gerald","Fultz","4.99"
357,"Keith","Rico","5.99"
357,"Keith","Rico","6.99"
358,"Samuel","Marlow","5.99"
359,"Willie","Markham","4.99"
359,"Willie","Markham","4.99"
360,"Ralph","Madrigal","6.99"
360,"Ralph","Madrigal","3.99"
360,"Ralph","Madrigal","6.99"
361,"Lawrence","Lawton","4.99"
363,"Roy","Whiting","4.99"
363,"Roy","Whiting","4.99"
363,"Roy","Whiting","4.99"
363,"Roy","Whiting","4.99"
364,"Benjamin","Varney","4.99"
364,"Benjamin","Varney","4.99"
364,"Benjamin","Varney","3.99"
365,"Bruce","Schwarz","6.99"
365,"Bruce","Schwarz","4.99"
368,"Harry","Arce","9.99"
368,"Harry","Arce","4.99"
368,"Harry","Arce","4.99"
368,"Harry","Arce","4.99"
368,"Harry","Arce","4.99"
370,"Wayne","Truong","6.99"
371,"Billy","Poulin","6.99"
371,"Billy","Poulin","5.99"
371,"Billy","Poulin","3.99"
372,"Steve","Mackenzie","4.99"
372,"Steve","Mackenzie","3.99"
373,"Louis","Leone","6.99"
374,"Jeremy","Hurtado","4.99"
375,"Aaron","Selby","5.99"
375,"Aaron","Selby","4.99"
377,"Howard","Fortner","3.99"
377,"Howard","Fortner","4.99"
378,"Eugene","Culpepper","4.99"
378,"Eugene","Culpepper","5.99"
378,"Eugene","Culpepper","7.99"
378,"Eugene","Culpepper","4.99"
379,"Carlos","Coughlin","8.99"
379,"Carlos","Coughlin","5.99"
380,"Russell","Brinson","3.99"
380,"Russell","Brinson","3.99"
380,"Russell","Brinson","4.99"
380,"Russell","Brinson","4.99"
381,"Bobby","Boudreau","3.99"
381,"Bobby","Boudreau","4.99"
382,"Victor","Barkley","4.99"
382,"Victor","Barkley","4.99"
383,"Martin","Bales","7.99"
383,"Martin","Bales","7.99"
384,"Ernest","Stepp","7.99"
384,"Ernest","Stepp","5.99"
384,"Ernest","Stepp","3.99"
384,"Ernest","Stepp","9.99"
384,"Ernest","Stepp","4.99"
386,"Todd","Tan","3.99"
386,"Todd","Tan","5.99"
387,"Jesse","Schilling","5.99"
387,"Jesse","Schilling","4.99"
388,"Craig","Morrell","6.99"
388,"Craig","Morrell","5.99"
388,"Craig","Morrell","4.99"
388,"Craig","Morrell","7.99"
389,"Alan","Kahn","4.99"
389,"Alan","Kahn","4.99"
389,"Alan","Kahn","3.99"
390,"Shawn","Heaton","5.99"
390,"Shawn","Heaton","7.99"
390,"Shawn","Heaton","5.99"
392,"Sean","Douglass","6.99"
392,"Sean","Douglass","4.99"
393,"Philip","Causey","6.99"
393,"Philip","Causey","4.99"
394,"Chris","Brothers","4.99"
395,"Johnny","Turpin","4.99"
395,"Johnny","Turpin","6.99"
396,"Earl","Shanks","4.99"
396,"Earl","Shanks","6.99"
397,"Jimmy","Schrader","5.99"
398,"Antonio","Meek","6.99"
398,"Antonio","Meek","9.99"
399,"Danny","Isom","5.99"
400,"Bryan","Hardison","3.99"
400,"Bryan","Hardison","6.99"
402,"Luis","Yanez","4.99"
402,"Luis","Yanez","4.99"
403,"Mike","Way","4.99"
403,"Mike","Way","8.99"
403,"Mike","Way","3.99"
403,"Mike","Way","4.99"
403,"Mike","Way","6.99"
403,"Mike","Way","5.99"
404,"Stanley","Scroggins","4.99"
404,"Stanley","Scroggins","4.99"
405,"Leonard","Schofield","4.99"
405,"Leonard","Schofield","5.99"
405,"Leonard","Schofield","3.99"
405,"Leonard","Schofield","4.99"
405,"Leonard","Schofield","5.99"
406,"Nathan","Runyon","4.99"
406,"Nathan","Runyon","3.99"
406,"Nathan","Runyon","7.99"
406,"Nathan","Runyon","4.99"
408,"Manuel","Murrell","4.99"
409,"Rodney","Moeller","5.99"
409,"Rodney","Moeller","8.99"
410,"Curtis","Irby","4.99"
410,"Curtis","Irby","5.99"
410,"Curtis","Irby","4.99"
413,"Marvin","Yee","5.99"
413,"Marvin","Yee","4.99"
414,"Vincent","Ralston","4.99"
414,"Vincent","Ralston","9.99"
414,"Vincent","Ralston","5.99"
415,"Glenn","Pullen","4.99"
416,"Jeffery","Pinson","4.99"
417,"Travis","Estep","3.99"
420,"Jacob","Lance","3.99"
421,"Lee","Hawks","4.99"
421,"Lee","Hawks","4.99"
422,"Melvin","Ellington","4.99"
422,"Melvin","Ellington","5.99"
423,"Alfred","Casillas","3.99"
423,"Alfred","Casillas","6.99"
423,"Alfred","Casillas","6.99"
423,"Alfred","Casillas","8.99"
424,"Kyle","Spurlock","4.99"
424,"Kyle","Spurlock","6.99"
425,"Francis","Sikes","6.99"
426,"Bradley","Motley","6.99"
